region,common_domain,frequency
UK,gov.uk,70
UK,parliament.uk,17
UK,unhcr.org,7
UK,equalityhumanrights.com,6
UK,labour.org.uk,5
UK,theyworkforyou.com,5
UK,libdems.org.uk,4
UK,coe.int,4
UK,ofcom.org.uk,3
UK,bbc.co.uk,2
UK,ukip.org,2
UK,judiciary.uk,2
UK,libertyhumanrights.org.uk,2
UK,uk; chathamhouse.org,1
UK,childrenssociety.org.uk,1
UK,ohchr.org,1
UK,unece.org,1
UK,reformparty.uk,1
UK,ilo.org,1
UK,appghumanrights.org,1
UK,amnesty*,1
UK,ukhumanrightsblog.com,1
UK,theguardian.com,1
UK,com; nationbuilder.com,1
UK,archive.org,1
UK,lawsociety.org.uk,1
