region,common_domain,frequency
US,congress.gov,111
US,house.gov,71
US,state.gov,17
US,senate.gov,15
US,whitehouse.gov,12
US,speaker.gov,5
US,ohchr.org,4
US,aclu.org,3
US,archives.gov,3
US,clerk.house,2
US,justice.gov,2
US,ucsb.edu,1
US,dhs.gov,1
US,hrc.org,1
US,justia.com,1
US,ama-assn.org,1
US,govtrack.us,1
US,federalregister.gov,1
US,chicagotribune.com,1
US,cbp.gov,1
US,amnesty*,1
US,who.int,1
UK,gov.uk,70
UK,parliament.uk,17
UK,unhcr.org,7
UK,equalityhumanrights.com,6
UK,labour.org.uk,5
UK,theyworkforyou.com,5
UK,libdems.org.uk,4
UK,coe.int,4
UK,ofcom.org.uk,3
UK,bbc.co.uk,2
UK,ukip.org,2
UK,judiciary.uk,2
UK,libertyhumanrights.org.uk,2
UK,uk; chathamhouse.org,1
UK,childrenssociety.org.uk,1
UK,ohchr.org,1
UK,unece.org,1
UK,reformparty.uk,1
UK,ilo.org,1
UK,appghumanrights.org,1
UK,amnesty*,1
UK,ukhumanrightsblog.com,1
UK,theguardian.com,1
UK,com; nationbuilder.com,1
UK,archive.org,1
UK,lawsociety.org.uk,1
EU,europa.eu,20
EU,government.nl,14
EU,boe.es,12
EU,coe.int,5
EU,ohchr.org,5
EU,conseil-constitutionnel.fr,4
EU,kormany.hu,3
EU,bundesregierung.de,3
EU,eppgroup.eu,2
EU,nato.int,2
EU,amnesty*,2
EU,gob.es,2
EU,gouv.fr,2
EU,elysee.fr,2
EU,bafa.de,1
EU,unhcr.org,1
EU,gov.hu,1
EU,valitsus.ee,1
EU,howtheyvote.eu,1
EU,defenseurdesdroits.fr,1
EU,epp.eu,1
