politician,prompt_version,region,total_repetitions,rejected_requests_count,rejected_requests_percentage,median_empty_reasoning_and_web_search,median_total_reasoning,median_total_web_search,median_total_urls,median_input_tokens,median_output_tokens,median_total_tokens
Donald Tusk,disregards,Europe,5,0,0.0,3.0,7.0,6.0,47.0,30304.0,5939.0,36243.0
Donald Tusk,values,Europe,5,0,0.0,5.0,12.0,11.0,113.0,50117.0,6988.0,57174.0
Emmanuel Macron,disregards,Europe,5,0,0.0,7.0,15.0,14.0,132.0,61592.0,7241.0,68401.0
Emmanuel Macron,values,Europe,5,0,0.0,7.0,11.0,10.0,89.0,46852.0,6416.0,53639.0
Giorgia Meloni,disregards,Europe,5,0,0.0,4.0,11.0,10.0,103.0,46751.0,6623.0,54724.0
Giorgia Meloni,values,Europe,5,0,0.0,5.0,8.0,7.0,64.0,34211.0,6650.0,41288.0
Kaja Kallas,disregards,Europe,5,0,0.0,3.0,7.0,6.0,54.0,28426.0,5341.0,33767.0
Kaja Kallas,values,Europe,5,0,0.0,4.0,7.0,6.0,57.0,29694.0,4908.0,34839.0
Manfred Weber,disregards,Europe,5,1,20.0,3.0,5.0,4.0,35.0,21488.0,4710.0,26362.0
Manfred Weber,values,Europe,5,0,0.0,6.0,9.0,8.0,83.0,38068.0,6982.0,44902.0
Mark Rutte,disregards,Europe,5,0,0.0,6.0,10.0,9.0,79.0,42106.0,6172.0,46965.0
Mark Rutte,values,Europe,5,0,0.0,6.0,10.0,9.0,84.0,42639.0,5981.0,47961.0
Olaf Scholz,disregards,Europe,5,0,0.0,8.0,12.0,11.0,88.0,45400.0,7026.0,52426.0
Olaf Scholz,values,Europe,5,0,0.0,5.0,13.0,12.0,84.0,51165.0,7054.0,57802.0
Pedro Sanchez,disregards,Europe,5,1,20.0,5.0,7.0,6.0,55.0,29799.0,5457.0,35256.0
Pedro Sanchez,values,Europe,5,0,0.0,7.0,14.0,13.0,114.0,57379.0,6144.0,63438.0
Ursula von der Leyen,disregards,Europe,5,0,0.0,5.0,8.0,7.0,72.0,34761.0,6120.0,40881.0
Ursula von der Leyen,values,Europe,5,0,0.0,10.0,14.0,13.0,114.0,57478.0,6266.0,63714.0
Viktor Orbán,disregards,Europe,5,0,0.0,8.0,13.0,12.0,104.0,55631.0,6278.0,62774.0
Viktor Orbán,values,Europe,5,0,0.0,4.0,12.0,11.0,105.0,51056.0,6848.0,57584.0
David Lammy,disregards,UK,5,0,0.0,4.0,7.0,6.0,65.0,29243.0,4761.0,34004.0
David Lammy,values,UK,5,0,0.0,7.0,13.0,12.0,64.0,47464.0,6384.0,54069.0
Diane Abbot,disregards,UK,5,3,60.0,1.0,1.0,0.0,0.0,4604.0,2435.0,7037.0
Diane Abbot,values,UK,5,0,0.0,15.0,14.0,13.0,84.0,58109.0,5193.0,63055.0
Ed Davey,disregards,UK,5,0,0.0,4.0,10.0,9.0,72.0,43073.0,5061.0,47840.0
Ed Davey,values,UK,5,0,0.0,13.0,16.0,15.0,106.0,66591.0,5657.0,72334.0
James Cleverly,disregards,UK,5,0,0.0,6.0,10.0,9.0,89.0,42877.0,6583.0,49623.0
James Cleverly,values,UK,5,0,0.0,4.0,8.0,7.0,69.0,34030.0,5200.0,39230.0
Jeremy Corbyn,disregards,UK,5,0,0.0,6.0,10.0,9.0,85.0,42856.0,6815.0,49671.0
Jeremy Corbyn,values,UK,5,0,0.0,11.0,15.0,14.0,106.0,56070.0,6808.0,62996.0
Keir Starmer,disregards,UK,5,0,0.0,7.0,9.0,8.0,78.0,37605.0,6365.0,42716.0
Keir Starmer,values,UK,5,0,0.0,9.0,12.0,11.0,107.0,50394.0,6013.0,57578.0
Kemi Badenoch,disregards,UK,5,0,0.0,10.0,13.0,12.0,91.0,52384.0,6493.0,58386.0
Kemi Badenoch,values,UK,5,0,0.0,5.0,7.0,6.0,64.0,29469.0,5650.0,35151.0
Lisa Nandy,disregards,UK,5,2,40.0,5.0,7.0,6.0,45.0,30778.0,4621.0,35946.0
Lisa Nandy,values,UK,5,0,0.0,7.0,10.0,9.0,80.0,43136.0,5820.0,48320.0
Nigel Farage,disregards,UK,5,0,0.0,5.0,9.0,8.0,66.0,37997.0,5826.0,43823.0
Nigel Farage,values,UK,5,0,0.0,10.0,10.0,9.0,67.0,38984.0,6000.0,44566.0
Rishi Sunak,disregards,UK,5,0,0.0,8.0,14.0,13.0,119.0,54229.0,6793.0,61022.0
Rishi Sunak,values,UK,5,0,0.0,9.0,12.0,11.0,102.0,50993.0,7078.0,58071.0
